way,name,way_id,node_id,highway,lat,lng,bearing
"<overpy.Way id=747280760 nodes=[26781973, 1837448982]>",South Bridge Road,747280760,26781973,secondary,1.2832020,103.8458432,208.25847363681297
"<overpy.Way id=747280760 nodes=[26781973, 1837448982]>",South Bridge Road,747280760,1837448982,secondary,1.2828912,103.8456761,
"<overpy.Way id=666600898 nodes=[6241199121, 6231418209]>",Mosque Street;摩士街,666600898,6241199121,residential,1.2834423,103.8454503,299.0472656565118
"<overpy.Way id=666600898 nodes=[6241199121, 6231418209]>",Mosque Street;摩士街,666600898,6231418209,residential,1.2834825,103.8453779,
"<overpy.Way id=666600901 nodes=[6241199122, 3426776778]>",Mosque Street;摩士街,666600901,6241199122,residential,1.2836635,103.8450587,299.26759597576876
"<overpy.Way id=666600901 nodes=[6241199122, 3426776778]>",Mosque Street;摩士街,666600901,3426776778,residential,1.2842592,103.8439955,
"<overpy.Way id=665722900 nodes=[3426776773, 6241199121]>",Mosque Street;摩士街,665722900,3426776773,residential,1.2833879,103.8455454,299.7770236790707
"<overpy.Way id=665722900 nodes=[3426776773, 6241199121]>",Mosque Street;摩士街,665722900,6241199121,residential,1.2834423,103.8454503,
"<overpy.Way id=665722901 nodes=[26781973, 3426776773]>",Mosque Street;摩士街,665722901,26781973,residential,1.2832020,103.8458432,301.9806998035712
"<overpy.Way id=665722901 nodes=[26781973, 3426776773]>",Mosque Street;摩士街,665722901,3426776773,residential,1.2833879,103.8455454,
"<overpy.Way id=665722902 nodes=[3426776778, 7860046204, 246800416]>",Mosque Street;摩士街,665722902,3426776778,residential,1.2842592,103.8439955,297.43402520370825
"<overpy.Way id=665722902 nodes=[3426776778, 7860046204, 246800416]>",Mosque Street;摩士街,665722902,7860046204,residential,1.2844069,103.8437109,311.3549178700476
"<overpy.Way id=665722902 nodes=[3426776778, 7860046204, 246800416]>",Mosque Street;摩士街,665722902,246800416,residential,1.2844355,103.8436784,
"<overpy.Way id=22919804 nodes=[6231418209, 472290886, 6241199122]>",Mosque Street;摩士街,22919804,6231418209,residential,1.2834825,103.8453779,301.5765554612379
"<overpy.Way id=22919804 nodes=[6231418209, 472290886, 6241199122]>",Mosque Street;摩士街,22919804,472290886,residential,1.2835351,103.8452923,298.80179713700073
"<overpy.Way id=22919804 nodes=[6231418209, 472290886, 6241199122]>",Mosque Street;摩士街,22919804,6241199122,residential,1.2836635,103.8450587,
"<overpy.Way id=747280760 nodes=[26781973, 1837448982]>",South Bridge Road,747280760,26781973,secondary,1.2832020,103.8458432,208.25847363681297
"<overpy.Way id=747280760 nodes=[26781973, 1837448982]>",South Bridge Road,747280760,1837448982,secondary,1.2828912,103.8456761,
"<overpy.Way id=666600898 nodes=[6241199121, 6231418209]>",Mosque Street;摩士街,666600898,6241199121,residential,1.2834423,103.8454503,299.0472656565118
